nbr	AH	work	RO	age	Rs
18	0	0	0	0	1
15	0	0	0	0	0
5	0	0	1	0	1
1	0	0	1	0	0
17	0	1	0	0	1
34	0	1	0	0	0
2	0	1	1	0	1
3	0	1	1	0	1
30	0	2	0	0	0
25	0	2	0	0	1
8	0	2	1	0	0
4	0	2	1	0	1
15	0	0	0	1	0
13	0	0	0	1	1
3	0	0	1	1	1
1	0	0	1	1	0
10	0	1	0	1	1
17	0	1	0	1	0
0	0	1	1	1	1
2	0	1	1	1	0
23	0	2	0	1	1
19	0	2	0	1	1
5	0	2	1	1	0
2	0	2	1	1	1
6	0	0	0	2	0
9	0	0	0	2	1
1	0	0	1	2	0
1	0	0	1	2	1
15	0	1	0	2	1
19	0	1	0	2	0
3	0	1	1	2	1
0	0	1	1	2	0
21	0	2	0	2	1
40	0	2	0	2	0
1	0	2	1	2	1
2	0	2	1	2	0
34	1	0	0	0	1
28	1	0	0	0	0
56	1	0	1	0	1
12	1	0	1	0	0
29	1	1	0	0	1
44	1	1	0	0	0
23	1	1	1	0	1
9	1	1	1	0	1
22	1	2	0	0	0
25	1	2	0	0	1
54	1	2	1	0	0
19	1	2	1	0	1
10	1	0	0	1	0
4	1	0	0	1	1
56	1	0	1	1	1
21	1	0	1	1	0
3	1	1	0	1	1
13	1	1	0	1	0
52	1	1	1	1	1
31	1	1	1	1	0
13	1	2	0	1	1
16	1	2	0	1	1
191	1	2	1	1	0
76	1	2	1	1	1
2	1	0	0	2	0
6	1	0	0	2	1
35	1	0	1	2	0
8	1	0	1	2	1
7	1	1	0	2	1
16	1	1	0	2	0
49	1	1	1	2	1
51	1	1	1	2	0
11	1	2	0	2	1
12	1	2	0	2	0
102	1	2	1	2	1
61	1	2	1	2	0
